family, generation, instance_type, ECU, vCPU, physical_processor, clock_speed_ghz, pretty_name, memory, network_performance, FPGA, GPU, storage_devices, storage_ssd, storage_nvme_ssd, storage_size, pricing, entry
General purpose,previous,m3.2xlarge,26,8,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),2.5 GHz,M3 General Purpose Double Extra Large,30,High,0,0,2,true,false,80,0.532,90
General purpose,current,m5d.2xlarge,31,8,Intel Xeon Platinum 8175,2.5 GHz,M5 General Purpose Double Extra Large,32,Up to 10 Gigabit,0,0,1,true,true,300,0.452,90
General purpose,current,m4.10xlarge,124.5,40,Intel Xeon E5-2676 v3 (Haswell),2.4 GHz,M4 General Purpose Deca Extra Large,160,10 Gigabit,0,0,,,,,2,90
General purpose,current,m5ad.large,0,2,AMD EPYC 7571,2.5 GHz,M5AD Large,8,Up to 10 Gigabit,0,0,1,true,true,75,0.103,90
Compute optimized,current,c5d.large,9,2,Intel Xeon Platinum 8124M,3.0 Ghz,C5 High-CPU Large,4,Up to 10 Gigabit,0,0,1,true,true,50,0.096,90
Memory optimized,current,r5d.metal,347,96,Intel Xeon Platinum 8175,,R5D Metal,768,25 Gigabit,0,0,4,true,true,900,6.912,90
Memory optimized,current,x1.32xlarge,349,128,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz,X1 Extra High-Memory 32xlarge,1952,High,0,0,2,true,false,1920,13.338,90
Compute optimized,current,c5n.2xlarge,0,8,Intel Xeon Platinum 8124M,3.0 Ghz,C5N Double Extra Large,21,Up to 25 Gigabit,0,0,,,,,0.432,90
General purpose,current,m5d.xlarge,16,4,Intel Xeon Platinum 8175,2.5 GHz,M5 General Purpose Extra Large,16,Up to 10 Gigabit,0,0,1,true,true,150,0.226,90
General purpose,current,m5.metal,345,96,Intel Xeon Platinum 8175,2.5 GHz,M5 General Purpose Metal,384,25 Gigabit,0,0,,,,,4.608,90
General purpose,current,m5.12xlarge,173,48,Intel Xeon Platinum 8175,2.5 GHz,M5 General Purpose 12xlarge,192,10 Gigabit,0,0,,,,,2.304,90
GPU instance,current,p3.16xlarge,188,64,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,P3 16xlarge,488,25 Gigabit,0,8,,,,,24.48,90
General purpose,previous,m3.large,6.5,2,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),2.5 GHz,M3 General Purpose Large,7.5,Moderate,0,0,1,true,false,32,0.133,90
Compute optimized,current,c5d.4xlarge,68,16,Intel Xeon Platinum 8124M,3.0 Ghz,C5 High-CPU Quadruple Extra Large,32,Up to 10 Gigabit,0,0,1,true,true,400,0.768,90
Memory optimized,current,r5.24xlarge,347,96,Intel Xeon Platinum 8175,,R5 24xlarge,768,25 Gigabit,0,0,,,,,6.048,90
Memory optimized,current,r4.large,7,2,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,R4 High-Memory Large,15.25,Up to 10 Gigabit,0,0,,,,,0.133,90
Memory optimized,previous,r3.xlarge,13,4,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5 GHz,R3 High-Memory Extra Large,30.5,Moderate,0,0,1,true,false,80,0.333,90
Memory optimized,current,x1e.32xlarge,340,128,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz,X1E 32xlarge,3904,25 Gigabit,0,0,2,true,false,1920,26.688,90
Compute optimized,current,c5n.xlarge,0,4,Intel Xeon Platinum 8124M,3.0 Ghz,C5N Extra Large,10.5,Up to 25 Gigabit,0,0,,,,,0.216,90
